LocalAuthority,WardName,ONSCode,TotalVotes,ANSTEE_COUNT,ASLAM_COUNT,BROPHY_COUNT,BURNHAM_COUNT,FARMER_COUNT,MORRIS_COUNT,ODZE_COUNT,PATTERSON_COUNT,Want of Official Mark,More than 1 Vote 1st Pref,Identifying Mark,Unmarked or Void,TOTAL REJECTED,TOTAL VOTES EXC. REJ,ANSTEE_PERC,ASLAM_PERC,BROPHY_PERC,BURNHAM_PERC,FARMER_PERC,MORRIS_PERC,ODZE_PERC,PATTERSON_PERC
BOLTON,Astley Bridge,E05000650,3072,1072,17,148,1588,11,79,57,51,0,34,1,14,49,3023,35.5,0.6,4.9,52.5,0.4,2.6,1.9,1.7
BOLTON,Bradshaw,E05000651,3053,1353,4,113,1399,15,77,35,32,0,8,0,17,25,3028,44.7,0.1,3.7,46.2,0.5,2.5,1.2,1.1
BOLTON,Breightmet,E05000652,2370,674,4,90,1357,16,69,86,45,0,20,0,9,29,2341,28.8,0.2,3.8,58,0.7,2.9,3.7,1.9
BOLTON,Bromley Cross,E05000653,3711,1597,1,168,1764,9,51,39,53,0,9,0,20,29,3682,43.4,0,4.6,47.9,0.2,1.4,1.1,1.4
BOLTON,Crompton (BOL),E05000654,3050,467,157,104,2083,8,53,76,44,0,52,0,6,58,2992,15.6,5.2,3.5,69.6,0.3,1.8,2.5,1.5
BOLTON,Great Lever,E05000656,2674,321,159,52,1966,9,24,45,48,0,39,0,11,50,2624,12.2,6.1,2,74.9,0.3,0.9,1.7,1.8
BOLTON,Halliwell,E05000657,2450,282,88,77,1828,4,39,58,46,0,8,0,20,28,2422,11.6,3.6,3.2,75.5,0.2,1.6,2.4,1.9
BOLTON,Hulton,E05000662,2819,887,61,69,1598,7,53,80,41,0,18,0,5,23,2796,31.7,2.2,2.5,57.2,0.3,1.9,2.9,1.5
BOLTON,Rumworth,E05000665,2999,290,217,58,2255,10,15,40,58,0,44,1,11,56,2943,9.9,7.4,2,76.6,0.3,0.5,1.4,2
BOLTON,Tonge with the Haulgh,E05000667,2136,505,17,63,1308,14,62,92,37,0,29,0,9,38,2098,24.1,0.8,3,62.3,0.7,3,4.4,1.8
BOLTON,Farnworth,E05000655,2171,364,34,70,1470,10,75,91,37,1,18,1,0,20,2151,16.9,1.6,3.3,68.3,0.5,3.5,4.2,1.7
