,LocalAuthority,WardName,ONSCode,TotalVotes,ANSTEE_COUNT,ASLAM_COUNT,BROPHY_COUNT,BURNHAM_COUNT,FARMER_COUNT,MORRIS_COUNT,ODZE_COUNT,PATTERSON_COUNT,WinCandVotes,WinningCandidate,SecondMostVotes,Difference,PercDifference,PERC_DIFFERENCE,PERC_DIFFERENCE_SQ,PERC_DIFFERENCE_ORDER_TEN,PERC_DIFFERENCE_ORDER_100,COLOUR,Want of Official Mark,More than 1 Vote 1st Pref,Identifying Mark,Unmarked or Void,TOTAL REJECTED,TOTAL VOTES EXC. REJ,ANSTEE_PERC,ASLAM_PERC,BROPHY_PERC,BURNHAM_PERC,FARMER_PERC,MORRIS_PERC,ODZE_PERC,PATTERSON_PERC
1,BOLTON,Astley Bridge,E05000650,3072,1072,17,148,1588,11,79,57,51,1588,4,1072,516,0.39,38.8,1505.21,387.97,3879.7,#F67878,0,34,1,14,49,3023,35.5,0.6,4.9,52.5,0.4,2.6,1.9,1.7
2,BOLTON,Bradshaw,E05000651,3053,1353,4,113,1399,15,77,35,32,1399,4,1353,46,0.03,3.34,11.18,33.43,334.3,#FE9797,0,8,0,17,25,3028,44.7,0.1,3.7,46.2,0.5,2.5,1.2,1.1
3,BOLTON,Breightmet,E05000652,2370,674,4,90,1357,16,69,86,45,1357,4,674,683,0.67,67.26,4523.57,672.58,6725.8,#EF6060,0,20,0,9,29,2341,28.8,0.2,3.8,58,0.7,2.9,3.7,1.9
4,BOLTON,Bromley Cross,E05000653,3711,1597,1,168,1764,9,51,39,53,1764,4,1597,167,0.1,9.94,98.75,99.38,993.8,#FD9191,0,9,0,20,29,3682,43.4,0,4.6,47.9,0.2,1.4,1.1,1.4
5,BOLTON,Crompton (BOL),E05000654,3050,467,157,104,2083,8,53,76,44,2083,4,467,1616,1.27,126.75,16064.32,1267.45,12674.5,#E12D2D,0,52,0,6,58,2992,15.6,5.2,3.5,69.6,0.3,1.8,2.5,1.5
6,BOLTON,Great Lever,E05000656,2674,321,159,52,1966,9,24,45,48,1966,4,321,1645,1.44,143.86,20694.72,1438.57,14385.7,#DD1E1E,0,39,0,11,50,2624,12.2,6.1,2,74.9,0.3,0.9,1.7,1.8
7,BOLTON,Halliwell,E05000657,2450,282,88,77,1828,4,39,58,46,1828,4,282,1546,1.47,146.54,21474.05,1465.4,14654.0,#DC1B1B,0,8,0,20,28,2422,11.6,3.6,3.2,75.5,0.2,1.6,2.4,1.9
8,BOLTON,Hulton,E05000662,2819,887,61,69,1598,7,53,80,41,1598,4,887,711,0.57,57.22,3274.51,572.23,5722.3,#F16969,0,18,0,5,23,2796,31.7,2.2,2.5,57.2,0.3,1.9,2.9,1.5
9,BOLTON,Rumworth,E05000665,2999,290,217,58,2255,10,15,40,58,2255,4,290,1965,1.54,154.42,23845.67,1544.2,15442.0,#DA1414,0,44,1,11,56,2943,9.9,7.4,2,76.6,0.3,0.5,1.4,2
10,BOLTON,Tonge with the Haulgh,E05000667,2136,505,17,63,1308,14,62,92,37,1308,4,505,803,0.89,88.58,7846.85,885.82,8858.2,#EA4D4D,0,29,0,9,38,2098,24.1,0.8,3,62.3,0.7,3,4.4,1.8
11,BOLTON,Farnworth,E05000655,2171,364,34,70,1470,10,75,91,37,1470,4,364,1106,1.21,120.61,14546.94,1206.11,12061.1,#E23232,1,18,1,0,20,2151,16.9,1.6,3.3,68.3,0.5,3.5,4.2,1.7
12,BOLTON,Harper Green,E05000658,2270,384,42,83,1567,11,48,82,27,1567,4,384,1183,1.21,121.27,14706.69,1212.71,12127.1,#E23131,0,21,0,5,26,2244,17.1,1.9,3.7,69.8,0.5,2.1,3.7,1.2
13,BOLTON,Heaton & Lostock,E05000659,4138,1915,28,122,1890,12,41,42,43,1915,1,1890,25,0.01,1.31,1.73,13.14,131.4,#DEEFF5,0,37,0,8,45,4093,46.8,0.7,3,46.2,0.3,1,1,1.1
14,BOLTON,Horwich and Blackrod,E05000660,3048,880,5,114,1820,21,49,72,51,1820,4,880,940,0.7,69.63,4848.29,696.3,6963.0,#EE5E5E,0,25,0,11,36,3012,29.2,0.2,3.8,60.4,0.7,1.6,2.4,1.7
15,BOLTON,Horwich North East,E05000661,3562,978,7,208,2113,22,67,63,58,2113,4,978,1135,0.73,73.44,5393.29,734.39,7343.9,#ED5A5A,0,18,0,28,46,3516,27.8,0.2,5.9,60.1,0.6,1.9,1.8,1.6
16,BOLTON,Kearsley,E05000663,2414,548,4,103,1491,15,79,108,30,1491,4,548,943,0.92,92.5,8555.57,924.96,9249.6,#E94A4A,0,21,1,14,36,2378,23,0.2,4.3,62.7,0.6,3.3,4.5,1.3
17,BOLTON,Little Lever and Darcy Lever,E05000664,2818,752,8,111,1653,11,95,122,41,1653,4,752,901,0.75,74.93,5614.09,749.27,7492.7,#ED5959,5,19,1,0,25,2793,26.9,0.3,4,59.2,0.4,3.4,4.4,1.5
18,BOLTON,Smithills,E05000666,3201,888,3,266,1831,14,57,76,47,1831,4,888,943,0.69,69.36,4811.33,693.64,6936.4,#EE5E5E,0,12,0,7,19,3182,27.9,0.1,8.4,57.5,0.4,1.8,2.4,1.5
19,BOLTON,Westhoughton North and Chew Moor,E05000668,3394,1214,7,116,1842,14,74,60,39,1842,4,1214,628,0.41,41.1,1689.17,410.99,4109.9,#F57676,0,19,0,9,28,3366,36.1,0.2,3.4,54.7,0.4,2.2,1.8,1.2
20,BOLTON,Westhoughton South,E05000669,2815,697,2,113,1827,9,51,54,40,1827,4,697,1130,0.9,89.54,8017.49,895.4,8954.0,#EA4D4D,0,13,0,9,22,2793,25,0.1,4,65.4,0.3,1.8,1.9,1.4
21,BURY,Church,E05000671,3101,1204,3,148,1516,13,105,40,48,1516,4,1204,312,0.23,22.94,526.3,229.41,2294.1,#F98686,0,13,0,11,24,3077,39.1,0.1,4.8,49.3,0.4,3.4,1.3,1.6
22,BURY,East,E05000672,2085,362,38,140,1312,17,90,46,48,1312,4,362,950,1.14,113.5,12882.39,1135.01,11350.1,#E43838,0,25,0,7,32,2053,17.6,1.9,6.8,63.9,0.8,4.4,2.2,2.3
23,BURY,Elton,E05000673,2611,909,3,109,1389,13,82,39,40,1389,4,909,480,0.42,41.78,1745.19,417.75,4177.5,#F57575,0,18,0,9,27,2584,35.2,0.1,4.2,53.8,0.5,3.2,1.5,1.5
24,BURY,Moorside,E05000675,2230,572,25,79,1335,16,85,49,40,1335,4,572,763,0.8,80.02,6403.36,800.21,8002.1,#EC5555,0,17,0,12,29,2201,26,1.1,3.6,60.7,0.7,3.9,2.2,1.8
25,BURY,North Manor,E05000676,3430,1424,1,139,1668,12,71,18,64,1668,4,1424,244,0.16,15.78,249.09,157.83,1578.3,#FB8C8C,0,19,4,10,33,3397,41.9,0,4.1,49.1,0.4,2.1,0.5,1.9
26,BURY,Ramsbottom,E05000681,3201,1065,4,110,1826,13,66,35,60,1826,4,1065,761,0.53,52.65,2771.62,526.46,5264.6,#F26C6C,0,13,0,9,22,3179,33.5,0.1,3.5,57.4,0.4,2.1,1.1,1.9
27,BURY,Redvales,E05000682,2447,591,33,82,1514,14,91,43,55,1514,4,591,923,0.88,87.7,7690.58,876.96,8769.6,#EA4E4E,0,11,0,13,24,2423,24.4,1.4,3.4,62.5,0.6,3.8,1.8,2.3
28,BURY,Tottington,E05000685,2554,975,8,125,1271,6,59,44,36,1271,4,975,296,0.26,26.36,694.74,263.58,2635.8,#F98383,0,20,0,10,30,2524,38.6,0.3,5,50.4,0.2,2.3,1.7,1.4
29,BURY,Besses,E05000670,2763,584,17,178,1682,15,134,53,50,1682,4,584,1098,0.97,96.91,9391.71,969.11,9691.1,#E84646,0,27,1,22,50,2713,21.5,0.6,6.6,62,0.6,4.9,2,1.8
